Молочный_напиток_шоколадный_1%_жирности__со_сниженным_содержанием_сахара,57 кКал
Молочный_напиток_шоколадный_3_4%_жирности__с_витаминами_A_и_D,83 кКал
Молочный_напиток_шоколадный_обезжиренный__с_витаминами_A_и_D,67 кКал
Молочный_напиток_шоколадный_обезжиренный__с_добавлением_кальция,78 кКал
Мороженое_в_вафельном_рожке_покрытое_шоколадом_с_орехами__22%_жирности,354 кКал
Мороженое_в_вафельном_рожке_с_арахисом_и_шоколадным_соусом__9_3%_жирности,265 кКал
Мороженое_в_шоколадной_глазури_с_орехами__25_8%_жирности,303 кКал
Мороженое_лёгкое_3%_жирности__с_сорбетом,165 кКал
Мороженое_молочное,132 кКал
Мороженое_молочное_клубничное,123 кКал
Мороженое_молочное_крем_брюле,138 кКал
Мороженое_молочное_ореховое,157 кКал
Мороженое_молочное_с_плодами_и_ягодами,124 кКал
Мороженое_молочное_с_шоколадной_глазурью,231 кКал
Мороженое_молочное_шоколадное,133 кКал
Мороженое_мягкое___шоколадное_13%_жирности_,222 кКал
Мороженое_мягкое__шоколадное__лёгкое_3_7%_жирности,141 кКал
Мороженое_на_палочке_с_хрустящей_глазурью__25%_жирности,358 кКал
Мороженое_на_палочке_с_шоколадной_глазурью__24%_жирности,331 кКал
Мороженое_обезжиренное_без_сахара,133 кКал
Мороженое_пломбир,232 кКал
Мороженое_пломбир_в_вафельном_рожке,254 кКал
Мороженое_пломбир_в_шоколадной_глазури,310 кКал
Мороженое_пломбир_клубничный,206 кКал
Мороженое_пломбир_крем_брюле,240 кКал
Мороженое_пломбир_ореховый,259 кКал
Мороженое_пломбир__шоколадный,231 кКал
Мороженое_сливочное,183 кКал
Мороженое_сливочное_клубничное,165 кКал
Мороженое_сливочное_крем_брюле,191 кКал
Мороженое_сливочное_ореховое,210 кКал
Мороженое_сливочное_с_плодами_и_ягодами,166 кКал
Мороженое_сливочное_с_шоколадной_глазурью,271 кКал
Мороженое_сливочное_шоколадное,185 кКал
Мороженое_сэндвич,237 кКал
